restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"KFC, Pondok Chandra",,5.0,Alhamdulillah mantap,,,
"KFC, Pondok Chandra",Leny Widiowati,5.0,Alhamdulillah mantap,1 Pc Chicken + 1 Rice,26 January 2026,Gojek user since 30 October 2015
"KFC, Pondok Chandra",A**** R**** A*****,2.0,"Lama bgt, dan harusnya diproses dlu sblm drivernya dtg. Kasian driver nunggu lama",Spaghetti Supreme - KFC Soup - 5 Pcs Chicken - 1 Pc Chicken - Twisty,20 January 2026,Gojek user since 31 March 2016
"KFC, Pondok Chandra",N*****,3.0,Request ayam paha atas malah di kasih ayam paha bawah,Chick Ball BBQ - Oriental Don - Petoook Solo - 1 Pc Chicken,28 December 2025,Gojek user since 10 August 2023
"KFC, Pondok Chandra",Henda,1.0,Sudah ditulis chili sauce tetap di campur tomato.. tolong profesional sedikit jgn asal asalan..,LDR Package - Super Komplit 1,24 December 2025,Gojek user since 18 January 2022
"KFC, Pondok Chandra",Arry Mulyanto,5.0,Tepung nya Crispy Mantab,KFC Winger - Rice - Telur Dadar,22 December 2025,Gojek user since 12 December 2018
"KFC, Pondok Chandra",M****,5.0,"Terima kasih, semoga slalu konsisten dalam rasa yaa.. jgn pernah berubah🥰",Triple Treat,1 January 2026,Gojek user since 2 May 2018
"KFC, Pondok Chandra",Maria Gracia Vanjacob,5.0,always delicious good taste fresh,1 Pc Chicken + 1 Rice,26 January 2026,Gojek user since 28 December 2021
"KFC, Pondok Chandra",Siska,5.0,baik dan ok mantap,Petoook Duo - 1 Pc Chicken,1 January 2026,Gojek user since 12 May 2019
"KFC, Pondok Chandra",Ahmadi HK,5.0,enaaaak pake bangeeeeet,LDR Package,17 January 2026,Gojek user since 14 July 2017
"KFC, Pondok Chandra",Koes Miani,5.0,jelasñ pasti enak pakai gojek,Triple Treat,27 December 2025,Gojek user since 26 September 2017
"KFC, Pondok Chandra",suciati,3.0,makin kecil ukuran ayamnya...promo berubah biasa dpt 5 skrg spt 4,4 Pcs Chicken - LDR Package,22 December 2025,Gojek user since 7 April 2020
"KFC, Pondok Chandra",Tirta,5.0,"mantap chef, packingnya rapi terus kalo rasa ga usah ditanyakan enakkkk pollll, semangat terus! terimakasih sudah melayani saya🙏",Petoook Solo,12 January 2026,Gojek user since 10 January 2026
"KFC, Pondok Chandra",Yusnanik,5.0,mantul pas di lidah tp kok harga naik ya....kalo boleh saran sih boleh naik tp agak di tambah dikit porsinya😊🙏selebihnya nya ok👌,1 Pc Chicken,29 December 2025,Gojek user since 13 December 2018
"KFC, Pondok Chandra",Ramadhani,5.0,nasi uduknya enak banget,Nasi Uduk - KFC Noodle - KFC Soup,22 January 2026,Gojek user since 1 January 2016
"KFC, Pondok Chandra",M*********,5.0,ok.. TERIMA KASIH,Triple Treat,3 January 2026,Gojek user since 27 July 2016
"KFC, Pondok Chandra",Suliyanto,2.0,"rasanya kurang enak nasinya terasa hambar, ayamnya kurang gurih",1 Pc Chicken + 1 Rice,12 December 2025,Gojek user since 1 October 2015
"KFC, Pondok Chandra",N******* A**** C*******,5.0,sais sambelnya aja sih mungkin bisa di tambah.,4 Pcs Chicken,22 December 2025,Gojek user since 13 January 2021
"KFC, Pondok Chandra",Rudy,1.0,sangat terlambat dan banyak alasan. padahal kurur datang 1 jam setelah pemesanan trrnyata masih menunggu karrna maaih belum selesai proses. tamunausah pulang semua,9 Pcs Chicken Bucket,9 January 2026,Gojek user since 6 June 2017
"KFC, Pondok Chandra",FEBBY SR,5.0,"terima kasih banget sama kakak2 KFC PCI pondok chandra indah , saya gak nyangka dikasih potongan paha atas semua u/ paket promo 4 potong harga 51ribu .makasih ya kak, sehat2 ya",4 Pcs Chicken - 4 Pcs Chicken - 1 Pc Chicken + 1 Rice - 1 Pc Chicken + 1 Rice,25 December 2025,Gojek user since 30 September 2016
"KFC, Pondok Chandra",Glenn Ganteng,5.0,uenakk sorooooooo,LDR Package,27 December 2025,Gojek user since 22 February 2019
"McDonald's, Basuki Rahmat",dwiwahyu,5.0,-1 KEMASAN DAN PACKAGE,McFlurry Feat. Oreo - Large Coca-Cola - McSpicy - PaNas 2 Ayam Spicy Lengkuas McD Sambal Bajak Large,28 April 2022,Gojek user since 24 January 2020
"McDonald's, Basuki Rahmat",ADAM BUDI PURNAMA PUTRA,5.0,100% = delicious,Double Big Mac - Beef Burger,24 September 2022,Gojek user since 6 September 2019
"McDonald's, Basuki Rahmat",Rahadian,1.0,"2 Kentangnya dingin, sangat dingin dan lembek. 2 Tea nya gak ada es batu semua. Kok gini ya?","PaNas 2 Spicy with Fries, Large - Paket HeBatt Beef Burger Deluxe",17 February 2024,Gojek user since 9 December 2017
"McDonald's, Basuki Rahmat",L*** F****,4.0,2 kentang goreng ketinggalan sedih bgt… padahal ada di struk dan udah di centang,"French Fries Medium - Apple Pie - PaNas 1 Krispy, Large - Spicy Chicken Bites",30 August 2022,Gojek user since 21 April 2017
"McDonald's, Basuki Rahmat",E***,1.0,2x pesen selalu diganti tanpa konfirmasi yg awal blueberry pie diganti es cream skrg blueberry pie diganti apple pie,Paket Keluarga Seru tanpa Mainan - Blueberry Cheesecake Pie,26 March 2024,Gojek user since 14 February 2017
"McDonald's, Basuki Rahmat",Zadrach Gerald,1.0,"ADD ON HELLO KITY NYA GADA,MAYAN SIH 40rb mau tau penyelesaiaan dari Pihak Mcd Nya gimana : ************","Paket Keluarga Seru - McFlurry Feat. OREO, Tanpa Mainan",16 December 2025,Gojek user since 17 December 2023
"McDonald's, Basuki Rahmat",Marizka Sapphire,5.0,APPLE PIE ❤️❤️❤️❤️ matengnya pas,McFlurry Choco - Apple Pie,6 October 2024,Gojek user since 29 August 2015
"McDonald's, Basuki Rahmat",gita amylia,4.0,"Ada kesalahan orderan,pesen nasi yg dtg kentang smua",Family Time Berempat Happy Meal Ayam McD,6 August 2022,Gojek user since 10 October 2015
"McDonald's, Basuki Rahmat",D**** A******** A,5.0,Alhamdulillah terimakasih,PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak Large,18 April 2022,Gojek user since 1 March 2022
"McDonald's, Basuki Rahmat",Ricky Setiawan,1.0,Apa poinnya jualan online tapi ga mau baca catatan konsumen,"Paket Hemat Big Mac, Large - Paket HeBat Beef Burger Deluxe",29 April 2025,Gojek user since 5 July 2018
"McDonald's, Basuki Rahmat",Wahyu Ragil Christanto,5.0,"Apakah McD basuki rahmat membayar Restribusi Parkir kepada Pemerintah, jika sudah mengapa masih ada biaya parkir lagi. Terimakasih","PaNas Special Krispy, Medium",27 February 2023,Gojek user since 14 August 2017
"McDonald's, Basuki Rahmat",Taufan Ady Pradana,5.0,Asinnnn banget ternyata hehe kayaknya yg spicy krispy tak tergantikan sih sama yg ayam gulai,PaNas 2 Ayam McD Krispy Black Pepper,18 February 2024,Gojek user since 8 November 2019
"McDonald's, Basuki Rahmat",Ivonne Deng,5.0,"Awesome, we like it so much",McD Chicken Porridge - PaMer 5 Krispy,9 May 2022,Gojek user since 2 April 2020
"McDonald's, Basuki Rahmat",S**** H*****,5.0,Ayam crispy McD emang nggk ada lawan... MANTAP... tap... tap,PaMer 7 Krispy,13 December 2025,Gojek user since 30 July 2018
"McDonald's, Basuki Rahmat",J*******,4.0,"Ayam ma nasi oke. Tp es krimnya dikit banget.,cuma setengah gelas. Padahal jaraknya deket tp udah mencair.",PROMO - 3 Ayam Krispy McD + 3 reg. Rice - Choco Sundae,19 March 2022,Gojek user since 25 August 2019
"McDonald's, Basuki Rahmat",E**** P******,3.0,"Ayam nya dikasih yg udah dingin, & hambar Rasanya padahal kemarin makan Mcd di Kuta bali enak bgt ayam nya gurih penuh Cita rasa sampe meresap kedalam daging ayam nya,, terus minum nya Request Teh susu panas malah dikasih Kopi Panas","PaNas 2 Krispy, Medium",12 September 2023,Gojek user since 20 July 2018
"McDonald's, Basuki Rahmat",ayanah,1.0,"Ayamnya ada yg busukk dua.., 🤮🤮🤮🤮🤮.. lupa ga lgsg di cekkk",PaMer 7 Mix,16 March 2023,Gojek user since 13 November 2018
"McDonald's, Basuki Rahmat",Askara Djalu,1.0,Ayamnya saya cuma dapat 6 harusnya 7,PaMer 7 Krispy,24 September 2022,Gojek user since 3 July 2017
"McDonald's, Basuki Rahmat",P****,1.0,BANNED . BANNED . BANNED,"PaNas Special Ayam Krispy McD Thai Sweet Chili, Med - PaNas Special Ayam Spicy McD Thai Sweet Chili, Med - Happy Meal Ayam McD",3 November 2023,Gojek user since 12 November 2021
"McDonald's, Basuki Rahmat",iwan,1.0,"Beli bubur ayam, telor nya gak dikasih padahal sudah bayar mahal 9.500. Sangat tidak teliti sekali. Jangan pesan disini",McD Chicken Porridge - Sausage McMuffin - Chicken McMuffin,26 April 2023,Gojek user since 9 November 2015
"McDonald's, Basuki Rahmat",I**,1.0,Beli mc spicy gadikasih sayur ama mayo cuma roti ama ayam,"Paket Hemat McSpicy, Large - Paket Hemat Cheeseburger Deluxe, Large",19 November 2025,Gojek user since 11 February 2024
"McDonald's, Basuki Rahmat",H****,1.0,Beli paket 5 ayam saus cuma 3,PaMer 5 Krispy,6 June 2022,Gojek user since 30 January 2015
"McDonald's, Basuki Rahmat",Nuril Ramadhani,5.0,Best banget🧡🧡🧡🧡,"PaNas 1 Krispy, Medium - French Fries Medium",12 February 2023,Gojek user since 11 October 2019
"McDonald's, Basuki Rahmat",F***** S******,5.0,Best combo and best price. Mantaps.,Hemat Seru - 2pcs Mini Cuts Spicy Chicken + Reg. Rice + Iced Coffee + McFlurry Choco,11 March 2022,Gojek user since 11 February 2017
"McDonald's, Basuki Rahmat",Badhek Ray,5.0,Bubur Ayam nama nya tp Ayam suwir nya sama sekali tdak ada,"PaHeBat Beef Burger Deluxe, Medium",23 February 2022,Gojek user since 11 May 2017
"McDonald's, Basuki Rahmat",D*****,3.0,"Bumbu Gulainya jangan dicampur diawal, ayamnya jadi ngak krispi. Kalau perlu budget kemasan lebih baik harga di adjust dibanding mengurangi qualitas makanan..",PaNas 2 Ayam McD Gulai Spicy - Triple Cheeseburger,9 March 2024,Gojek user since 16 March 2019
"McDonald's, Basuki Rahmat",S***** Z*****,1.0,Burgernya salah porsi kak bukan yg ini kok gak sesuai ya niat kerja apa ngk !! Pesen yg deluxe chiken burger dapet roti sama ayam nya doang isinya gada,"PaNas Special, Spicy Med - HARGA SPECIAL - Choco Frappe Large - Chicken Burger Deluxe - McFlurry Feat. Oreo",24 August 2023,Gojek user since 12 May 2022
"McDonald's, Basuki Rahmat",bella,5.0,Chef nya mantap,"PaHeBat Mini Cuts Spicy Chicken - PaNas 1 Krispy, Medium",3 March 2022,Gojek user since 27 September 2016
"McDonald's, Basuki Rahmat",Afkar,1.0,Coca cola saya pecah yang bener dong sampe burgernya kena coca cola... jangan salahkan driver. Karena pas pecah driver udah blng klo ttupnya ga rapat,"PaHeBat Chicken Burger Deluxe, Medium",17 December 2022,Gojek user since 5 April 2018
"McDonald's, Basuki Rahmat",F******,2.0,Cocacola tumpah habis karna selernya gk rapat,"PaNas 1 Krispy, Medium",16 September 2022,Gojek user since 6 February 2021
"McDonald's, Basuki Rahmat",M****** Y***,3.0,Coffee kurang pas,"Paket Hemat McSpicy, Medium",24 April 2024,Gojek user since 3 January 2022
"McDonald's, Basuki Rahmat",K***** L*******,2.0,"Dada ayam nya kurang juisi, teralu kering seperti ayam yang di goreng lagi. Rasa seperti biasa mantab","PaNas 2 Spicy with Fries, Medium",11 August 2023,Gojek user since 24 December 2019
"McDonald's, Basuki Rahmat",Erli,5.0,Daging ayam nya tdk standar ukuran lbh kecil,"McNuggets 6 pcs - PaMer 5 Krispy - Paket Hemat Big Mac, Medium",6 October 2022,Gojek user since 20 October 2018
"McDonald's, Basuki Rahmat",W*********,2.0,"Di display botol freenya warna biru, tapi yg dateng warna kuning. pdhl udah nungguin dr lama",Paket Hemat McSpicy Large Colorful Bottle - McFlurry Choco,4 October 2022,Gojek user since 1 October 2018
"McDonald's, Basuki Rahmat",A*** R*** B******,1.0,"Dibilang promo gabisa pilih ayam, padahal gak ikut promo. Pilihan pedasnya tidak sesuai",PaMer 5 Mix,18 September 2023,Gojek user since 28 April 2016
"McDonald's, Basuki Rahmat",elyasaf soendoro,1.0,Dingin semua sudah makanannya padahal pilih express,"PaNas 2 Ayam McD Krispy Opor Sambal Terasi - PaNas 2 Krispy, Medium - Paket Hemat Double Cheeseburger, Medium",18 August 2024,Gojek user since 25 May 2016
"McDonald's, Basuki Rahmat",safira zahtaa,2.0,"Dri kemarin pembelian tidak sesuai deh, koreksi lagi ya",PaMer 5 Mix - Choco Frappe Large,16 October 2023,Gojek user since 12 May 2022
"McDonald's, Basuki Rahmat",Citra,5.0,ENAK BGT GAPERNAH GK ENAK😭🥺😭🥺😭,"PaNas 1 Spicy, Medium - PaNas 1 Krispy, Medium",5 May 2022,Gojek user since 6 October 2018
"McDonald's, Basuki Rahmat",A********,5.0,Enak banget dan ga berubah rasanya dari dulu ✌️😊,"PaNas 2 Spicy, Large - Honey Garlic Chicken Rice McD",8 November 2022,Gojek user since 26 September 2021
"McDonald's, Basuki Rahmat",Moh Yusuf,5.0,Enak banget poll,"PaNas 2 Spicy, Large - Beef Burger - Rica Rica Chicken Rice McD - PaHeBat Beef Burger Deluxe, Medium",17 December 2022,Gojek user since 6 December 2016
"McDonald's, Basuki Rahmat",Priska Laurensia,5.0,"Enak, pedas cuma di tepung jadi tetap aman si kecil makan dagingnya",PROMO - 3 Ayam Spicy McD + 3 reg. Rice,27 January 2023,Gojek user since 21 November 2022
"McDonald's, Basuki Rahmat",N***,5.0,"Enakk seperti biasanya, fav💖","Paket Keluarga Seru - McFlurry Feat. OREO, Tanpa Mainan",29 March 2025,Gojek user since 21 December 2021
"McDonald's, Basuki Rahmat",XionManSit,5.0,Enakkkkkkkkkkkk,PaMer 5 Mix Medium - Beef Burger Deluxe - 1pc Krispy Chicken,29 September 2022,Gojek user since 11 August 2022
"McDonald's, Basuki Rahmat",Amanda wawan,5.0,"Enaqq, tpi nasiny kurangg Hahaha cangat ketcil","PaNas 2 Spicy, Medium",30 December 2022,Gojek user since 25 April 2022
"McDonald's, Basuki Rahmat",Jeffrey Chua,5.0,Enjoy the triple cheeseburger,"PROMO - 3 Double Cheeseburger - Paket Hemat Fish Fillet Burger, Medium",25 November 2023,Gojek user since 28 January 2019
"McDonald's, Basuki Rahmat",farah,5.0,Enjoyed my birthday bash with this burgers !!!,Chicken Burger - Beef Burger,13 July 2022,Gojek user since 14 March 2016
"McDonald's, Basuki Rahmat",M******** S********* N***,2.0,FANTA SAMPE RUMAH HABIS KARENA BOCOR DIJALAN,"PaNas 2 Spicy, Large",7 July 2022,Gojek user since 28 September 2017
"McDonald's, Basuki Rahmat",Rachmad FH,1.0,"GAADA KENTANGNYA, BAYAR FULL TP GA DIKASIH KENTANG, GIMANA INI SOLUSINYA? UDH GAMAU ORDER LAGI THX","McChicken - PaNas 2 Spicy with Fries, Medium",2 September 2023,Gojek user since 13 May 2019
"McDonald's, Basuki Rahmat",tri maryono,1.0,"Ga bisa pesanan apa, sdh dicentang ga mgerti tanpa sayur.","Paket Hemat Big Mac, Medium - Beef Burger Deluxe",30 March 2024,Gojek user since 3 January 2018
"McDonald's, Basuki Rahmat",A**** P********,4.0,Ga dapet saos padahal penting bgt saos,"PaNas 2 Spicy, Medium - PaNas 2 Krispy, Medium",17 November 2022,Gojek user since 9 June 2017
"McDonald's, Basuki Rahmat",A*****,2.0,Ga dikasi saos.,"PaNas 2 Krispy with Fries, Large - Chocolate Strawberry Sundae",18 September 2025,Gojek user since 21 May 2022
"McDonald's, Basuki Rahmat",anton,4.0,Ga mau dada. Dpt nya dada semua 3. Dan 2 paha bawah,PaMer 5 Ayam Spicy Lengkuas McD Sambal Bajak,7 June 2022,Gojek user since 22 October 2018
"McDonald's, Basuki Rahmat",apinka,1.0,Ga sesuai ekspektasi terutama sweet corn nya,Breakfast Wrap - Sweet Corn - Chicken McMuffin,16 October 2023,Gojek user since 17 September 2018
"McDonald's, Basuki Rahmat",Farhan,2.0,Gak dapat nasi. Padahal di gambar ada & opsi menu ada tulisan *** reg nasi,"Paket Kenyang, Spicy",14 December 2024,Gojek user since 8 November 2015
"McDonald's, Basuki Rahmat",I**** I******,1.0,Gak dikasi saos sachet sama sekali,"PaHeBat Cheeseburger, Medium",11 September 2022,Gojek user since 28 November 2021
"McDonald's, Basuki Rahmat",Bayu A,5.0,Gak pernah salah emang ayam mekdi,1pc Spicy Chicken - 1pc Krispy Chicken,13 February 2022,Gojek user since 1 October 2017
"McDonald's, Basuki Rahmat",T**,3.0,"Hadiahnya ga ada, kan saya beli nya sepaket dg hadiah…, kecewa banget…","Paket Keluarga Seru - McFlurry Feat. OREO, Dengan Mainan",26 September 2024,Gojek user since 21 March 2017
"McDonald's, Basuki Rahmat",nishar,5.0,I always like McDonald's and chicken wrap excellent taste so good 😊,"Chicken Snack Wrap - Paket Hemat Big Mac, Medium",27 April 2022,Gojek user since 7 September 2017
"McDonald's, Basuki Rahmat",J*** S,1.0,I didn’t have anything in the burger even tho I didn’t ask anything to be taken out in the Big Mac,"Paket Hemat Big Mac, Large - Paket Hemat Big Mac, Large",26 September 2025,Gojek user since 23 September 2025
"McDonald's, Basuki Rahmat",adam,1.0,I didn’t receive my food,1pc Krispy Chicken - Apple Pie,9 September 2025,Gojek user since 2 October 2018
"McDonald's, Basuki Rahmat",M***** B********,5.0,I enjoy everything! Thank you for fast delivery ❤️😇,"Paket Hemat McNuggets 6 pcs, Medium - Double Cheese Burger - Chicken Snack Wrap",9 April 2025,Gojek user since 10 April 2023
"McDonald's, Basuki Rahmat",M****,5.0,I enjoyed every bite of it!!,"PaHeBat Beef Burger Deluxe, Medium",23 February 2022,Gojek user since 7 October 2020
"McDonald's, Basuki Rahmat",E**** W***** L**,5.0,I love the packaging and the taste the taste is so good and the packaging is cool,Happy Meal McNuggets,15 February 2023,Gojek user since 20 April 2021
"McDonald's, Basuki Rahmat",Olivia Jupri,3.0,I may hold grudges over my missing chocolate cake 😧😧,Choco Lover - Big Mac Free Beef Rasher McFlavor Set Colorful Bottle - Lemon Cake,9 October 2022,Gojek user since 19 November 2015
"McDonald's, Basuki Rahmat",E***** U*******,3.0,I receive wrong chicken,PaMer 5 Spicy Medium,16 June 2023,Gojek user since 27 November 2017
"McDonald's, Basuki Rahmat",deeyan,5.0,I'm L❤vin' It !!!!!!,"PaNas 2 Krispy, Medium - PaHeBat Chicken Burger Deluxe, Large - French Fries Large",28 May 2022,Gojek user since 30 April 2018
"McDonald's, Basuki Rahmat",M****** S*******,5.0,IM LOVIN ITTT PARAMPAMPAMPAMMMM,"Apple Pie - Paket Hemat Fish Fillet Burger, Medium - Double Cheese Burger - McNuggets 4 pcs",1 April 2025,Gojek user since 29 August 2015
"McDonald's, Basuki Rahmat",Yulia Susyanti,1.0,Ice cream dan susunya tdk ada😑,Family Weekend Bertiga Happy Meal Beef Burger dan Mainan,30 June 2022,Gojek user since 24 February 2021
"McDonald's, Basuki Rahmat",Ayu Rahma Oktavia,3.0,Ini burgernya knpa polosan ya gaada sayurannya?,Matcha McFlurry with Matcha Cookies - Beef Burger Deluxe,17 June 2023,Gojek user since 22 October 2022
"McDonald's, Basuki Rahmat",Petrus,2.0,"Is it really customizable? Never sent accordingly, then why ask for which part of the chicken that we wished to order? Is it so hard to understand?","PaNas 2 Krispy, Large - PaHeBat Cheeseburger, Large",7 July 2022,Gojek user since 27 April 2017
"McDonald's, Basuki Rahmat",ega,5.0,Jooooooossssss Daaahhh,"PaNas Special Spicy, Large - French Fries Medium - Choco Sundae",22 May 2022,Gojek user since 29 July 2016
"McDonald's, Basuki Rahmat",Hoirul anas,5.0,Joss sjekwkwnsowmwienwkeie,McFlurry Feat. Oreo - Chicken McMuffin,11 January 2022,Gojek user since 29 October 2019
"McDonald's, Basuki Rahmat",D*** K*******,3.0,Jumlah pesanan saya kurang dari yg di pesan,"PaNas 2 Spicy with Fries, Large - PaHeBat Cheeseburger Deluxe, Medium - Fruit Tea Lemon Large",5 June 2022,Gojek user since 26 August 2015
"McDonald's, Basuki Rahmat",Fania Layla,5.0,KAK AKU KOK GADAPET STICKER NEW JEANS 😭😭,PaNas HeBat Korean Soy Garlic Wings - PaNas HeBat Korean Soy Garlic Wings,17 August 2023,Gojek user since 3 October 2020
"McDonald's, Basuki Rahmat",C****,2.0,KALAU MEMANG YG DIREQUEST TIDAK ADA SEHARUSNYA TELFON CUSTOMER,"PaNas Special Spicy, Large",25 November 2023,Gojek user since 26 May 2020
"McDonald's, Basuki Rahmat",O**,1.0,"Kalau hujan tolong dikasih plastik ya , ayam nya tidak bisa dimakan , basah kena air hujan",GoFood - 10 Pcs Ayam McD Krispy,27 December 2025,Gojek user since 26 September 2015
"McDonald's, Basuki Rahmat",fajar pamungkas,1.0,"Kalo pesennya apa ya harusnya dikasihnya sesuai pesenan, jangan seenaknya sendiri. Beli paha atas sama paha bawah. Hlakok jadi dadanya 3 pahanya 2. Sering gak sesuai pesenan kalo beli di mcd basuki rahmat. Udah kesekian kalinya bgini",Happy Meal Egg Cheese Muffin - 2 pcs Spicy Chicken McD - PaMer 5 Krispy,20 June 2022,Gojek user since 7 October 2015
"McDonald's, Basuki Rahmat",Aisyah,2.0,"Kelamaan di frezer trs dingin lagi kyk ud lama , jd nya ga fresh","PaNas 2 Krispy, Medium - 1pc Spicy Chicken",1 November 2022,Gojek user since 12 October 2016
"McDonald's, Basuki Rahmat",B****** I***** P**********,5.0,Keluarin terus dong menu gulainya mantep banget,PaNas Spesial Ayam McD Gulai Spicy - PaNas Spesial Ayam McD Gulai Spicy,1 April 2023,Gojek user since 4 February 2017
"McDonald's, Basuki Rahmat",F****** A****** R*****,5.0,"Kemajuan, sekarang dikasih tas kertas. bisa milih minumnya juga.","PaHeBat Cheeseburger Deluxe, Medium",23 February 2022,Gojek user since 30 March 2017
"McDonald's, Basuki Rahmat",F**** I********,4.0,Kenapa mcd sby lebih kecil drpd malang,"McSpicy - Menu Receh 1+1 Honey Garlic Chicken Rice McD - PaNas 1 Spicy, Medium - McFlurry Feat. Oreo",4 August 2023,Gojek user since 15 August 2016
"McDonald's, Basuki Rahmat",A***,3.0,Kenapa toys happy meal dikasih edisi sonic. Pdhl kn edisi skrng Dinosaurus 😭 Trus Puzzle nya dikasih edisi Pahlawan bukan yg terbaru 😩,"Family Weekend Happy Meal Beef Burger dan Puzzle, Krispy",19 September 2022,Gojek user since 23 June 2019
"McDonald's, Basuki Rahmat",Guntur Satria Dewangga,1.0,Kentang kurang 1,Paket Hemat Chicken Burger Deluxe Large Colorful Tumbler - French Fries Large - Big Mac McFlavor Set Colorful Tumbler,5 September 2023,Gojek user since 19 July 2019
"McDonald's, Basuki Rahmat",M******* R**** A* F***,2.0,Kentang nya selalu dalam keadaan dingin,"Cheeseburger Deluxe - Cheeseburger - Paket Five Cheeses Steak Burger with French Fries, Large",17 January 2023,Gojek user since 16 February 2022
"McDonald's, Basuki Rahmat",arini,1.0,Kentang nya tdk seger..sdh dingin,"PaHeBat Beef Burger Deluxe, Medium - Choco Sundae",16 April 2022,Gojek user since 25 January 2018
"McDonald's, Basuki Rahmat",G**** G******,5.0,Kl ke Surabaya pasti order ini saus nya sesuai permintaan,"PaNas 1 Spicy, Medium - McFlurry Feat. Oreo",28 April 2023,Gojek user since 29 May 2019
"McDonald's, Basuki Rahmat",Sherly Margaretha,3.0,Klo kasih saos sedikit,"Family Time Happy Meal Ayam McD dan Mainan - Paket Hemat Double Cheeseburger, Medium",25 October 2022,Gojek user since 21 October 2015
"McDonald's, Basuki Rahmat",D** P******,3.0,Kok yg kali ini kecil2 ya truz tulangnya hitem bgt,PaMer 7 Krispy - 2 Beef Prosperity ALC FREE 2 Ayam Krispy,12 March 2023,Gojek user since 7 August 2016
"McDonald's, Basuki Rahmat",Laras ambar wati,3.0,LAMA BGT PELAYANANNYA,"Paket Hemat Big Mac, Large + Color Changing Tumbler",4 October 2024,Gojek user since 17 March 2019
"McDonald's, Basuki Rahmat",U** A** I,3.0,"Lain kali harus lebih prepare lagi, lama gara gara nunggu ayam digoreng","PaNas 1 Spicy, Medium - Creamy Garlic McFlavor",29 September 2023,Gojek user since 2 April 2021
"McDonald's, Basuki Rahmat",wahyu yoga,1.0,"Lama banget 1 jam lebih nunggu, driver juga nunggu lama gak selesai selesai katanya","Paket Keluarga Seru - McFlurry Feat. OREO, Tanpa Mainan - PaNas 1 Spicy, Large",5 November 2025,Gojek user since 16 July 2017
"McDonald's, Basuki Rahmat",riskaa,5.0,"Langganan rib , cuma tadi di kasih tight . Gpp deh maksih mcd",PROMO-3 Ayam Spicy McD+ 3 Reg. Nasi+ 3 Reg. Fruit Tea Lemon - Share Box with Spicy BBQ Crunchy Stars + Mentai Sauce,20 November 2023,Gojek user since 20 February 2019
"McDonald's, Basuki Rahmat",M***,2.0,Lbh sedikit porsinya drpd biasanya,Apple Pie - McFlurry Feat. Oreo,23 August 2022,Gojek user since 16 September 2015
"McDonald's, Basuki Rahmat",Faizal Setiadi,5.0,Love Mekdi sekebon. 🫰😅,4pcs Korean Soy Garlic Wings + Iced Coffee - French Fries Medium,19 February 2023,Gojek user since 11 February 2017
"McDonald's, Basuki Rahmat",MOHAMAD ARIS,5.0,MAANNNTTTTAAAAABBBBBB 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,"PaNas Special Ayam Spicy McD Thai Sweet Chili, Med - PaNas Special Ayam Spicy McD Thai Sweet Chili, Med - PaNas Special Ayam Spicy McD Thai Sweet Chili, Med",5 December 2023,Gojek user since 27 February 2021
"McDonald's, Basuki Rahmat",al azzam,1.0,MAKANAN SAYA KURANG ( SPAGHETTI NYA) TERUS GA DIGANTI LAGI !!!!,McSpaghetti - Happy Meal Ayam McD - 1pc Spicy Chicken - Bolognese Chesee McFlavor Fries - Medium Rice,15 November 2025,Gojek user since 13 February 2025
"McDonald's, Basuki Rahmat",S***********,5.0,MAKASIII PAKKK ENAK BGTTT BGTTT,"PaNas 2 Krispy, Medium - Cheeseburger - Choco Sundae",15 November 2022,Gojek user since 5 December 2020
"McDonald's, Basuki Rahmat",Isa Alinskie,5.0,MANTAP Sekali 👍🏻👍🏻👍🏻👍🏻👍🏻,PaMer 5 Ayam Lengkuas ALC (Krispy) + 3x Iced Coffee - White Choco Strawberry Pastry Pie,2 May 2022,Gojek user since 26 January 2017
"McDonald's, Basuki Rahmat",Andryan Engga,5.0,MANTAP UNTUK RAME RAME,"PaNas Special Krispy, Large - French Fries Large - Cheeseburger",21 June 2024,Gojek user since 10 September 2016
"McDonald's, Basuki Rahmat",YENNY RAHMAWATI,5.0,"MANTUL BANGET, MAKASIH CHEF🙏🙏🙏👍👍💖",Fish Fillet Burger - Large Rice,24 June 2024,Gojek user since 13 January 2020
"McDonald's, Basuki Rahmat",Endahyati,5.0,MC DONALD sukses slalu,"PaNas 1 Spicy, Medium - Family Time Happy Meal Egg & Cheese Muffin dan Mainan, Krispy",16 October 2022,Gojek user since 28 October 2020
"McDonald's, Basuki Rahmat",Ahmad Febianto,5.0,MCD ancen debest lur,"PaNas 1 Spicy, Medium",1 March 2023,Gojek user since 24 April 2022
"McDonald's, Basuki Rahmat",Sukiyati,5.0,Makan enak tanpa repot,"Reusable Bag - PaNas 2 Krispy with Fries, Large - PaNas 2 Krispy, Large - PaNas 2 Krispy, Large",18 April 2022,Gojek user since 6 January 2016
"McDonald's, Basuki Rahmat",william christian,1.0,Makanan ku basah semua kena minumnya.... komplen deh,Choco Sundae - Paket Hemat McNuggets 6pcs M,16 March 2023,Gojek user since 13 September 2015
