restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",U**,1.0,"kecap nya kurang terasa craby roll nya isi an crabstik nya gaada, cuman rasa chicken kecil banget lebih enak makan ditempat porsi dan rasa nya pas",Kober Mie Manis - Kober Mie Manis - Lumpia Udang - Crabby Roll,25 July 2024,Gojek user since 29 December 2022
"Kober Mie, Kaca Piring",D****,5.0,kecapnya udah banyak tapi sayangnya kurang pedas,Kober Mie Manis - Udang Keju,21 November 2024,Gojek user since 6 August 2024
"Kober Mie, Kaca Piring",KiRa,3.0,kecepatannya pesanan. dan terlalu menunggu lama,Monster Roll - Mie Angel - Mie Iblis - Udang Rambutan - Sushi - Keyca,7 October 2022,Gojek user since 3 June 2019
"Kober Mie, Kaca Piring",ilham,1.0,"kecewa banget, gak jelas",Kober Mie Manis - Udang Rambutan,3 August 2025,Gojek user since 30 March 2021
"Kober Mie, Kaca Piring",ayun,3.0,"kecewa bgt pesen 3 mie cabai 2,3 dan 4 eh yg dtg gk ada cabainya semua,pdhl lg pingin mie yg pedes bgt,pdhl ini bkn pas promo loh belinya pake hrga normallll..ngantuk apa habis stok cabainya???? rasa juga udh jauh beda sm yg dulu, ditunggu permohonan maafnya serta klasifikasi ya.kecewa sekali pdhl dlu sering beli!",Kober Mie Manis - Kober Mie Gurih - Udang Rambutan - Kober Mie Gurih - Udang Keju,18 February 2023,Gojek user since 8 September 2016
"Kober Mie, Kaca Piring",sinta,1.0,kecewa orderan yg datang tidak sesuai dengan pesanan,Mie Iblis - Udang Rambutan - Lumpia Udang - Hakau,18 January 2023,Gojek user since 7 March 2018
"Kober Mie, Kaca Piring",L*** A********,1.0,"kecewa. sudah ke 2 kalinya. karena harga tidak sesuai yg tercantum di aplikasi. tiba"" setelah pesan. harga langsung berubah di aplikasi. katanya promo. tiba"" beda dari harga promo yg tercantum awal.",Paket 2,28 April 2022,Gojek user since 9 January 2020
"Kober Mie, Kaca Piring",tia,1.0,kemaren mesen udang keju datengnya malah udang rambutan,Kober Mie Gurih - Udang Keju,14 June 2023,Gojek user since 28 May 2023
"Kober Mie, Kaca Piring",M*******,5.0,kemasan sangat bagus dan enakk,Koberkan 4 - Mie Iblis - Kerang Emas - Lumpia Ayam - Udang Rambutan - Siomay,31 December 2020,Gojek user since 31 December 2020
"Kober Mie, Kaca Piring",M****,4.0,kematangan mie nya,Mie Setan - Udang Rambutan - Udang Keju,5 March 2022,Gojek user since 10 March 2018
